date,campaign_name,spend,impressions,cpm,clicks,cpc
2026-04-25,Spring Sale - Prospecting,245.30,48200,5.09,312,0.79
2026-04-25,Spring Sale - Retargeting,187.50,41500,4.52,287,0.65
2026-04-25,Brand Awareness - Lookalike,320.00,58900,5.43,198,1.62
2026-04-26,Spring Sale - Prospecting,258.10,51300,5.03,335,0.77
2026-04-26,Spring Sale - Retargeting,195.20,44100,4.43,301,0.65
2026-04-26,Brand Awareness - Lookalike,310.50,55200,5.63,185,1.68
2026-04-27,Spring Sale - Prospecting,231.80,47800,4.85,298,0.78
2026-04-27,Spring Sale - Retargeting,201.40,46200,4.36,315,0.64
2026-04-27,Brand Awareness - Lookalike,335.20,60100,5.58,210,1.60
2026-04-28,Spring Sale - Prospecting,267.90,52600,5.09,342,0.78
2026-04-28,Spring Sale - Retargeting,178.30,40800,4.37,278,0.64
2026-04-28,Brand Awareness - Lookalike,298.70,53400,5.59,192,1.56
2026-04-29,Spring Sale - Prospecting,242.50,49100,4.94,318,0.76
2026-04-29,Spring Sale - Retargeting,192.80,43900,4.39,295,0.65
2026-04-29,Brand Awareness - Lookalike,325.10,57800,5.63,201,1.62
2026-04-30,Spring Sale - Prospecting,255.60,50700,5.04,328,0.78
2026-04-30,Spring Sale - Retargeting,189.40,42600,4.45,289,0.65
2026-04-30,Brand Awareness - Lookalike,318.90,56500,5.64,195,1.64
